host_ip,window_start,alpha1_norm,alpha2,alpha3,score,is_attack_any,is_attack_src,src_attack
192.168.10.12,2017-07-04 01:00:00+00:00,0.26313053359434374,0.7485380116959064,0.860655737704918,0.5880103382579848,False,False,
192.168.10.17,2017-07-04 01:00:00+00:00,0.25233772956926004,0.603448275862069,0.7954545454545454,0.5206059382226883,False,False,
192.168.10.51,2017-07-04 01:00:00+00:00,0.23347357338672617,0.7113821138211383,0.8993288590604027,0.5766027212191527,False,False,
192.168.10.9,2017-07-04 01:00:00+00:00,0.188115034298263,0.6101694915254238,0.8356164383561644,0.5089817926837816,False,False,
192.168.10.16,2017-07-04 01:00:00+00:00,0.22074438090154147,0.7064220183486238,0.8992805755395683,0.5700085305270742,False,False,
192.168.10.19,2017-07-04 01:00:00+00:00,0.24444392383573194,0.49295774647887325,0.7923076923076923,0.48335720117026243,False,False,
192.168.10.15,2017-07-04 01:00:00+00:00,0.1809409171719473,0.8021390374331551,0.897196261682243,0.5821769566033983,False,False,
192.168.10.5,2017-07-04 01:00:00+00:00,0.2924389875324925,0.7159309021113244,0.9391304347826087,0.6134939960811769,False,False,
192.168.10.25,2017-07-04 01:00:00+00:00,0.23562732406977896,0.7701149425287356,0.7391304347826086,0.5470245428213149,False,False,
192.168.10.8,2017-07-04 01:00:00+00:00,0.21818455715116478,0.8,0.6875,0.533523822860466,False,False,
192.168.10.50,2017-07-04 01:00:00+00:00,0.35348485469967156,0.62,0.8990825688073394,0.5971187125220704,False,False,
104.239.227.128,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
104.25.160.27,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
104.76.108.44,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
104.84.148.123,2017-07-04 01:00:00+00:00,0.11920292202211755,1.0,0.9508196721311475,0.6329270704481913,False,False,
192.168.10.3,2017-07-04 01:00:00+00:00,0.24347788811446688,0.36231884057971014,0.9241573033707865,0.4833339984309358,False,False,
144.76.121.178,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
145.243.233.163,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
162.213.33.50,2017-07-04 01:00:00+00:00,0.11920292202211755,1.0,0.9761904761904762,0.6405383116659898,False,False,
172.217.10.14,2017-07-04 01:00:00+00:00,0.1535223572424822,0.0,1.0,0.3614089428969929,False,False,
172.217.10.46,2017-07-04 01:00:00+00:00,0.15043299299662646,0.0,1.0,0.3601731971986506,False,False,
172.217.10.78,2017-07-04 01:00:00+00:00,0.16914654185611536,0.0,1.0,0.36765861674244615,False,False,
172.217.11.14,2017-07-04 01:00:00+00:00,0.17384766632462048,0.0,1.0,0.3695390665298482,False,False,
172.217.11.46,2017-07-04 01:00:00+00:00,0.12102002570649167,0.3333333333333333,0.9545454545454546,0.434771646646233,False,False,
172.217.12.130,2017-07-04 01:00:00+00:00,0.15270139011061837,0.0,1.0,0.3610805560442473,False,False,
172.217.12.174,2017-07-04 01:00:00+00:00,0.16483158140233198,0.5,0.9782016348773842,0.5093931230241481,False,False,
172.217.12.206,2017-07-04 01:00:00+00:00,0.16222641745410205,1.0,0.9780701754385965,0.6583116196132197,False,False,
172.217.3.110,2017-07-04 01:00:00+00:00,0.15115332001996004,1.0,0.9583333333333334,0.647961328007984,False,False,
172.217.6.206,2017-07-04 01:00:00+00:00,0.1536777759265142,0.21052631578947367,0.985663082437276,0.42032792983863054,False,False,
172.217.6.227,2017-07-04 01:00:00+00:00,0.1535913813414867,1.0,0.9565217391304348,0.6483930742757251,False,False,
172.217.7.3,2017-07-04 01:00:00+00:00,0.1430993759580371,0.6666666666666666,0.988929889298893,0.5539187171728828,False,False,
173.194.206.154,2017-07-04 01:00:00+00:00,0.1302234180551355,0.0,1.0,0.3520893672220542,False,False,
178.154.131.215,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
184.29.129.62,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
184.84.243.218,2017-07-04 01:00:00+00:00,0.13439178986143188,0.0,1.0,0.35375671594457275,False,False,
192.168.10.1,2017-07-04 01:00:00+00:00,0.1302234210607394,1.0,0.42105263157894735,0.4784051578979799,False,False,
128.100.100.128,2017-07-04 01:00:00+00:00,0.11920292202211755,1.0,0.94,0.6296811688088471,False,False,
192.168.10.255,2017-07-04 01:00:00+00:00,0.11920292202211755,0.5384615384615384,0.9287020109689214,0.48783023363798494,False,False,
198.252.206.25,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,0.6363636363636364,0.2385902597179379,False,False,
199.182.221.110,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,0.94,0.329681168808847,False,False,
206.108.0.132,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,0.94,0.329681168808847,False,False,
209.48.71.168,2017-07-04 01:00:00+00:00,0.13022337781155127,0.0,1.0,0.3520893511246205,False,False,
209.85.144.154,2017-07-04 01:00:00+00:00,0.13022330429980375,0.0,1.0,0.35208932171992147,False,False,
216.58.219.234,2017-07-04 01:00:00+00:00,0.14134141642713943,1.0,0.9861111111111112,0.6523698999041891,False,False,
224.0.0.251,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,0.8727272727272728,0.3094993506270289,False,False,
23.194.140.205,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,0.9906542056074766,0.34487743049109004,False,False,
23.208.165.24,2017-07-04 01:00:00+00:00,0.1559106232681393,0.5,0.9863636363636363,0.5082733402163466,False,False,
23.49.139.27,2017-07-04 01:00:00+00:00,0.11920292202211755,0.3333333333333333,0.9833333333333333,0.442681168808847,False,False,
23.60.139.27,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
35.160.100.86,2017-07-04 01:00:00+00:00,0.14324767858698315,0.0,1.0,0.3572990714347932,False,False,
38.69.238.16,2017-07-04 01:00:00+00:00,0.13542212474499646,0.0,1.0,0.35416884989799857,False,False,
38.72.130.133,2017-07-04 01:00:00+00:00,0.13440567292062672,0.0,1.0,0.3537622691682507,False,False,
50.17.216.242,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
52.35.5.132,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
54.192.37.36,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
64.94.116.192,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
72.21.91.29,2017-07-04 01:00:00+00:00,0.31578830367264354,0.17857142857142858,0.9849498327759197,0.4753716998732619,False,False,
77.66.54.155,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
87.250.247.184,2017-07-04 01:00:00+00:00,0.11920292202211755,1.0,0.9689922480620154,0.6383788432274516,False,False,
87.250.250.119,2017-07-04 01:00:00+00:00,0.1302233680037662,1.0,0.9689922480620154,0.642787021620111,False,False,
88.85.71.60,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
91.189.89.198,2017-07-04 01:00:00+00:00,0.11920292202211755,0.3333333333333333,0.9245283018867925,0.42503965937488475,False,False,
91.189.89.199,2017-07-04 01:00:00+00:00,0.11920292202211755,0.5,0.868421052631579,0.45820748459832067,False,False,
205.144.60.57,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
209.48.71.138,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
216.58.217.131,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
23.194.141.143,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
239.255.255.250,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
40.80.145.78,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
52.3.205.157,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
52.84.145.135,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
54.192.37.17,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
213.133.105.188,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
37.202.2.165,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
52.36.249.151,2017-07-04 01:00:00+00:00,0.13022341529684625,1.0,0.9634146341463414,0.6411137563626409,False,False,
52.84.145.136,2017-07-04 01:00:00+00:00,0.11920292202211755,1.0,0.8444444444444444,0.6010145021421803,False,False,
52.84.145.207,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
144.217.164.10,2017-07-04 01:00:00+00:00,0.11920292202211755,1.0,0.9689922480620154,0.6383788432274516,False,False,
52.84.145.65,2017-07-04 01:00:00+00:00,0.11920292202211755,1.0,0.8444444444444444,0.6010145021421803,False,False,
91.189.91.157,2017-07-04 01:00:00+00:00,0.11920292202211755,0.5,0.868421052631579,0.45820748459832067,False,False,
108.61.73.244,2017-07-04 01:00:00+00:00,0.11920292202211755,0.5,0.868421052631579,0.45820748459832067,False,False,
129.6.15.29,2017-07-04 01:00:00+00:00,0.11920292202211755,0.0,1.0,0.34768116880884703,False,False,
